URL,Field1,Field2,Field4,Field5,Field6
"https://www.glassdoor.com/Overview/Working-at-Capgemini-Engineering-EI_IE28187.11,32.htm",3.8 ★,Capgemini Engineering,"Information Technology Support Services
10K+ Employees","Headquarters near Dallas, TX",12K Reviews17K Salaries2K Jobs
"https://www.glassdoor.com/Overview/Working-at-Capital-Fund-Management-EI_IE698649.11,34.htm",4.5 ★,Capital Fund Management,"Investment & Asset Management
201 to 500 Employees","Headquarters near Paris, France",72 Reviews92 Salaries27 Jobs
"https://www.glassdoor.com/Overview/Working-at-Captain-Data-EI_IE7170460.11,23.htm",,Captain Data,1 to 50 Employees,"Headquarters near Nantes, France",0 Reviews3 Salaries0 Jobs
"https://www.glassdoor.com/Overview/Working-at-Carlili-EI_IE3070831.11,18.htm",4.6 ★,Carlili,1 to 50 Employees,"Headquarters near Paris, France",8 Reviews12 Salaries0 Jobs
"https://www.glassdoor.com/Overview/Working-at-Carrefour-EI_IE3118.11,20.htm",3.8 ★,Carrefour,"General Merchandise & Superstores
10K+ Employees","Headquarters near Massy, France",12K Reviews17K Salaries8K Jobs
"https://www.glassdoor.com/Overview/Working-at-Catalina-EI_IE2155.11,19.htm",3.8 ★,Catalina,"Advertising & Public Relations
1K to 5K Employees","Headquarters near Saint Petersburg, FL",491 Reviews714 Salaries7 Jobs
"https://www.glassdoor.com/Overview/Working-at-Cdiscount-EI_IE656886.11,20.htm",3.7 ★,Cdiscount,"Internet & Web Services
1K to 5K Employees","Headquarters near Bordeaux, France",386 Reviews631 Salaries55 Jobs
"https://www.glassdoor.com/Overview/Working-at-Cegedim-EI_IE13058.11,18.htm",3.7 ★,Cegedim,"Software Development
5K to 10K Employees","Headquarters near Boulogne-Billancourt, France",559 Reviews808 Salaries182 Jobs
"https://www.glassdoor.com/Overview/Working-at-CEGID-EI_IE13082.11,16.htm",3.0 ★,CEGID,"Enterprise Software & Network Solutions
1K to 5K Employees","Headquarters near Lyon, France",330 Reviews662 Salaries139 Jobs
"https://www.glassdoor.com/Overview/Working-at-CENOVA-EI_IE2063663.11,17.htm",4.2 ★,CENOVA,"Business Consulting
51 to 200 Employees","Headquarters near Neuilly-sur-Seine, France",33 Reviews22 Salaries8 Jobs
"https://www.glassdoor.com/Overview/Working-at-Centric-EI_IE475233.11,18.htm",3.8 ★,Centric,"Information Technology Support Services
1K to 5K Employees","Headquarters near Gouda, Netherlands",209 Reviews544 Salaries320 Jobs
"https://www.glassdoor.com/Overview/Working-at-CHEMOVATOR-GmbH-EI_IE3927178.11,26.htm",4.6 ★,CHEMOVATOR GmbH,"Chemical Manufacturing
51 to 200 Employees","Headquarters near Mannheim, Germany",15 Reviews19 Salaries6 Jobs
"https://www.glassdoor.com/Overview/Working-at-Cision-EI_IE16067.11,17.htm",3.2 ★,Cision,"Computer Hardware Development
1K to 5K Employees","Headquarters near Chicago, IL",1K Reviews2K Salaries15 Jobs
"https://www.glassdoor.com/Overview/Working-at-Cityscoot-EI_IE2601540.11,20.htm",3.9 ★,Cityscoot,201 to 500 Employees,"Headquarters near Paris, France",22 Reviews37 Salaries0 Jobs
"https://www.glassdoor.com/Overview/Working-at-Cleyrop-EI_IE5104173.11,18.htm",1.0 ★,Cleyrop,1 to 50 Employees,"Headquarters near Paris, France",4 Reviews10 Salaries10 Jobs
"https://www.glassdoor.com/Overview/Working-at-Cloudflare-EI_IE430862.11,21.htm",3.8 ★,Cloudflare,"Internet & Web Services
1K to 5K Employees","Headquarters near San Francisco, CA",546 Reviews1K Salaries150 Jobs
"https://www.glassdoor.com/Overview/Working-at-Codasip-EI_IE1329764.11,18.htm",4.7 ★,Codasip,"Computer Hardware Development
51 to 200 Employees","Headquarters near Brno, Czech Republic",18 Reviews22 Salaries42 Jobs
"https://www.glassdoor.com/Overview/Working-at-Codility-EI_IE658258.11,19.htm",3.5 ★,Codility,"Enterprise Software & Network Solutions
51 to 200 Employees","Headquarters near Warsaw, Poland",112 Reviews140 Salaries5 Jobs
"https://www.glassdoor.com/Overview/Working-at-CONSORT-Group-EI_IE8133815.11,24.htm",5.0 ★,CONSORT Group,,"Headquarters near Moscow, Russia",1 Reviews1 Salaries7 Jobs
"https://www.glassdoor.com/Overview/Working-at-Constellium-EI_IE802654.11,22.htm",4.0 ★,Constellium,"Metal & Mineral Manufacturing
10K+ Employees","Headquarters near Paris, France",270 Reviews433 Salaries154 Jobs
"https://www.glassdoor.com/Overview/Working-at-Contentsquare-EI_IE1106723.11,24.htm",3.9 ★,Contentsquare,"Enterprise Software & Network Solutions
1K to 5K Employees","Headquarters near Paris, France",417 Reviews742 Salaries46 Jobs
"https://www.glassdoor.com/Overview/Working-at-Converteo-EI_IE2055939.11,20.htm",4.6 ★,Converteo,"Business Consulting
201 to 500 Employees","Headquarters near Paris, France",98 Reviews210 Salaries15 Jobs
"https://www.glassdoor.com/Overview/Working-at-Creative-Lift-EI_IE7858020.11,24.htm",,Creative Lift,1 to 50 Employees,"Headquarters near Paris, France",0 Reviews2 Salaries0 Jobs
